title,category,price,description,colour,url,img_url
Nike Air More Uptempo '96,Men's Shoes,"Rp2,849,000","More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps its colours subtle with neutrals and pops of Metallic Silver. The iconic AIR graphic comes in high-contrast white for a little extra off-court flair. After all, ""a little extra"" is what these shoes do best.",Photon Dust/White/Black/Metallic Silver,https://www.nike.com/id/t/air-more-uptempo-96-shoes-SHbbBD/FB3021-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3903da9b-0b32-447c-aa01-ecf523232458/air-more-uptempo-96-shoes-SHbbBD.png"
Nike Mercurial Vapor 15 Academy,Multi-Ground Football Boot,"Rp1,279,000","The pitch is yours when you lace up in the Vapor 15 Academy MG. It's loaded with a Zoom Air unit and flexible NikeSkin up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most. Fast is in the Air.",Black/Hyper Royal/Chrome,https://www.nike.com/id/t/mercurial-vapor-15-academy-multi-ground-football-boot-DBh36g/DJ5631-040,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/4b0c0c1e-d2df-4e2e-8597-a1cf3ff6e33c/mercurial-vapor-15-academy-multi-ground-football-boot-DBh36g.png
Nike Wildhorse 8,Men's Trail-Running Shoes,"Rp1,778,000","Hoof it from the bottom of the trail to the top, and handle winding paths, rolling hills, tricky hairpin turns and everything in between in the Nike Wildhorse 8. With an abundance of rugged traction, cushioned responsiveness and trusted containment to help keep you upright, it's made for tough trail runs, the ones with limitless miles and gnarly terrain that are too enticing to turn down.",Black/Cool Grey/White/Wolf Grey,https://www.nike.com/id/t/wildhorse-8-trail-running-shoes-TKwbBn/DR2686-001,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/3088e009-84cb-4b29-8ec8-611080e87186/wildhorse-8-trail-running-shoes-TKwbBn.png
Nike Air Kukini,Men's Shoes,"Rp1,868,000","Let opposites attract with the Nike Air Kukini. Bridging casual with technical, its stretchy neoprene-like fabric hugs your foot while the caged support system (inspired by '90s ski suits) adds a sporty finish. Visible Nike Air cushioning puts the cherry on the bottom for this boundary-pushing paradox of perfection.",Light Silver/Anthracite/Sail/Black,https://www.nike.com/id/t/air-kukini-shoes-3lq4RV/DX8004-001,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/d088bf97-1a77-4eee-8e5d-6e0efb94dbd6/air-kukini-shoes-3lq4RV.png
Nike Air Max 97 SE,Men's Shoes,"Rp2,128,000","Step into the history books. These special-edition kicks pay homage to Frank Rudy, the man who created the coveted cornerstone of cushioning—Air. From the see-through ""Air pocket"" heel to the release date proudly stamped on the Air unit, celebrate Frank's legacy with fun details that deliver a lesson in comfort.",Summit White/Safety Orange/Lemon Wash/Black,https://www.nike.com/id/t/air-max-97-se-shoes-ldG7wH/DV2619-100,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e34d12a4-fed6-4341-9ac7-e99a2ae3c932/air-max-97-se-shoes-ldG7wH.png"
Nike Phantom GX Academy,Indoor Court Football Shoes,"Rp1,299,000","Looking to take your game to the next level? Academy shoes give you the precision touch you need to let your innermost playing instincts dazzle. Featuring NikeSkin and a mesh touch zone to help enhance your precision, and an agility plate that's designed to swerve and sprint with you, it's ready to ignite your spontaneous playmaking spirit.",Barely Volt/Barely Grape/Gridiron,https://www.nike.com/id/t/phantom-gx-academy-indoor-court-football-shoes-H1nQBN/DD9475-705,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/445d6af0-390e-4480-8f2d-7a179b67a38c/phantom-gx-academy-indoor-court-football-shoes-H1nQBN.png"
Nike Streetgato,Men's Football Shoes,"Rp1,299,000","Step into the dawn of a new day and put the globe on notice about your skills. A flashy iridescent plate, futuristic graphic and vibrant colours resembling a gradient sunrise speak to the gravitational power of the women's game, a fully fledged force capable of uniting us on and off the pitch. They blend performance details with streetwear flair so you can be ready to play at any moment.",Guava Ice/Black,https://www.nike.com/id/t/streetgato-football-shoes-sgn12z/FB9712-800,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0cdb23e4-e14a-4606-9d15-5ca4b69efb1e/streetgato-football-shoes-sgn12z.png"
Nike Cortez 23 SE,Men's Shoes,"Rp1,549,000","'70s music festivals, Lunar New Year celebrations and revered Blue Ribbon Sports style—there's definitely a theme. From its multi-generational rabbit graphic (à la Blue Ribbon detailing) to the tassel inspired by fringe leather clothing (we won't deny BRS was involved with long hair, bandanas and rock 'n roll), this celebratory take on the Cortez roots you to past, present and future. Don't forget, this refreshed design includes a wider toe area and firmer side panels so you can comfortably wear them day in, day out without any warping. Step on in—there's nothing better than tradition.",Wheat Gold/Coconut Milk/Pale Vanilla/White,https://www.nike.com/id/t/cortez-23-se-shoes-VMfmkK/FD0400-725,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Jordan Play,Men's Slides,"Rp569,000","Get all of the underfoot support you need with these essential slides. Enjoy the cushioning of thick, lightweight foam for beach days or post-game hangouts.",University Blue/White,https://www.nike.com/id/t/jordan-play-slides-2mCjgT/DC9835-401,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/501bd9b0-3cac-4b05-a77e-a56f3aa586ff/jordan-play-slides-2mCjgT.png
Nike Dunk Low Retro,Men's Shoes,"Rp1,549,000","Recognising the Dunk's roots as the top-ranking university-team sneaker, the Be True To Your School Pack looks to the original ad campaign for inspiration. Colours represent top-flight universities, while crisp leather has the perfect amount of sheen to make 'em a hands-down win. So lace up and show off that varsity spirit. Are you game?",White/White/Clear Jade,https://www.nike.com/id/t/dunk-low-retro-shoes-bCzchX/DV0833-101,https://static.nike.com/a/images/t_PDP_144_v1/f_auto/5ce0216a-3c5c-4518-b3a9-4731dd1de836/dunk-low-retro-shoes-bCzchX.png
Nike Metcon 8,Men's Workout Shoes,"Rp2,059,000","You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous edition to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts.",Volt/Wolf Grey/Photon Dust/Diffused Blue,https://www.nike.com/id/t/metcon-8-workout-shoes-p9rQzn/DO9328-700,https://static.nike.com/nike-prod-cld/images/t_PDP_144_v1/f_auto/static/en_gb-DYO/DYO.png
Nike Phantom GX Elite,Artificial-Grass Football Boots,"Rp3,889,000","Obsessed with perfecting your craft? We design Elite boots for you and the world's biggest stars to give you high-level quality, because you demand greatness from yourself and your footwear. Made from revolutionary Nike Gripknit, this boot provides better touch on the ball in an intuitive design that helps enhance your precision both when striking and during close control.",Black/Hyper Royal/Chrome,https://www.nike.com/id/t/phantom-gx-elite-football-boot-CRPX0r/DD9441-040,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/121d96a4-82b9-4bb3-b687-80e45721075a/phantom-gx-elite-football-boot-CRPX0r.png"
Nike Air Presto,Men's Shoes,"Rp2,199,000","With a sleek design that's more comfortable than your favourite tee, the Air Presto is made to feel good and look fast. Its stretchy sleeve creates a cosy, sock-like fit, while the soft foam adds spring to your step. Put them on and you'll never want to take them off.",Hyper Blue/Black/Sky Blue/Chamois,https://www.nike.com/id/t/air-presto-shoes-zcCqXJ/DX4258-400,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/7cd6bbb4-f273-4a59-96d7-8a118a76db2a/air-presto-shoes-zcCqXJ.png"
Nike Air Max Plus,Men's Shoes,"Rp2,669,000","Let your attitude have the edge with flame-like caging that adds heat to the streets, while airy mesh keeps you cool. The Nike Air Max Plus gives you a tuned Nike Air experience that offers premium stability and unbelievable cushioning.",Black/White/Deep Royal/Scream Green,https://www.nike.com/id/t/air-max-plus-shoes-pFKxz0/DX4326-001,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/bc4ea557-e918-4ff5-af44-4bc71f97eb28/air-max-plus-shoes-pFKxz0.png"
Nike Alphafly 2,Men's Road Racing Shoes,"Rp4,089,000","Once you take a few strides in the Nike Air Zoom Alphafly NEXT% 2, you'll never look at your favourite pair of old racing shoes the same way again. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. Enjoy the greatest energy return of all our racing shoes while you chase your personal bests.",Hyper Pink/Laser Orange/White/Black,https://www.nike.com/id/t/alphafly-2-road-racing-shoes-cVPHCD/DN3555-600,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1e4ffa00-ad76-4d6f-9ada-c4d73234dd26/alphafly-2-road-racing-shoes-cVPHCD.png"
Nike Dunk High Retro SE,Men's Shoes,"Rp1,939,000","Created for the hardwood but taken to the streets, the b-ball icon returns with crisp synthetic leather and retro colours. The classic design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.",Monarch/Sail/Monarch,https://www.nike.com/id/t/dunk-high-retro-se-shoes-ZgKR1S/DV7223-800,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/98e8ea6a-2304-41e2-b270-023823eb1bdc/dunk-high-retro-se-shoes-ZgKR1S.png"
